,gene_name,p-value,logFC,-logQ
310,Trip11,0.0010019176214094987,1.3480955,2.999167985093556
311,Enpp1,0.001028676141415248,2.314999,2.9877213328511756
312,Trf,0.001029473077714187,2.7139392,2.987385006358288
313,Mme,0.00104796105950463,2.000677,2.9796548547153288
314,Uqcc2,0.001052834282032427,1.5223471,2.9776399821504165
315,Pdia3,0.0010651092156540637,1.0198226,2.9726058576487153
316,Ttc3,0.0011001868797553777,1.4279691,2.958533538520789
317,Myo10,0.0011095488118617648,1.6600451,2.9548535872977535
318,Prss23,0.0011095488118617648,4.746282,2.9548535872977535
319,Lamp2,0.0011521536643131086,1.004443,2.938489594599661
320,Gpx4,0.0011565850704410912,1.7629642,2.9368224180041507
321,Foxn3,0.0011744686803856425,1.3609104,2.9301585600843754
322,Atp5d,0.0012045361756827166,1.5405531,2.9191801523584906
323,Mrpl20,0.001235313370055977,1.8322277,2.9082228580945158
324,Scand1,0.0012716526005345607,1.4139117,2.8956315162641557
325,Mycbp2,0.0013129635614433294,1.0914263,2.8817473266779876
326,Timp3,0.0013169618503956883,1.8658257,2.8804268054502202
327,Fau,0.00136686123146845,0.93475115,2.8642755742885337
328,Rpl31,0.001464185870238568,1.0520363,2.834403788513206
329,Os9,0.001536416385746398,1.829867,2.8134910697694915
330,Luzp1,0.0015666864373556552,2.1348522,2.805017916200783
331,Palld,0.0015713918095877888,2.3624792,2.8037155148159796
332,Col5a1,0.0016155374390443603,1.3533593,2.791682973033543
333,Fzd5,0.0016546349723391132,2.8429887,2.7812978006702025
334,Btbd7,0.0016571072415448454,2.315957,2.7806493848190055
335,Golgb1,0.0016996592136714233,1.3791732,2.769638147126657
336,Ptpn13,0.0017060009463533915,3.1111877,2.768020732256455
337,Ebf3,0.0017085437275864209,4.8154974,2.767373901614139
338,Spag9,0.0017758920384432636,1.6161373,2.7505834397587243
339,AC152164.3,0.0017811724532045574,1.3319412,2.7492940300879543
340,S1pr3,0.0017984336351555019,2.8820605,2.7451055836544977
341,Eny2,0.0018145033594049852,1.5100439,2.7412422234018665
342,Yam1,0.0018239381981879942,1.2493539,2.738989881271113
343,Fndc3b,0.001830704946599162,1.2366625,2.7373816449879906
344,Ubl4a,0.001837494756192932,3.1547637,2.7357738916232086
345,Zcchc14,0.0018593779400937263,2.2714894,2.7306323258737915
346,Ghr,0.001869026909996664,3.407044,2.7283844456629414
347,Ndufa7,0.0018898583503008728,1.3408759,2.7235707460850045
348,Psmb3,0.001937868132284566,1.5865175,2.7126757790755733
349,Ndufb9,0.001937868132284566,1.1319882,2.7126757790755733
350,Cdc42ep3,0.002025331849790092,1.2094352,2.6935038076468594
351,Bmp3,0.002142882889350207,2.155072,2.6690015629286523
352,Mrc2,0.002147586943850794,1.6965824,2.668049244972718
353,C1ra,0.002150728238056633,3.5734315,2.6674144627732863
354,Samd9l,0.002174422556910839,2.4103065,2.6626560553268614
355,Eef1d,0.002174422556910839,1.1991779,2.6626560553268614
356,Fign,0.0022015652463880037,2.817478,2.657268439104578
357,Psme2,0.0022241508375040434,1.2774041,2.652835763099732
