,gene_name,p-value,logFC,-logQ
346,Smarcb1,0.09174809190101077,1.3543206,1.037402959070194
347,Gas7,0.09232312444018254,2.2854383,1.034689506352889
348,Yif1a,0.09255394639520538,2.240227,1.033605058692587
349,Esd,0.0926695310170544,1.0861278,1.0330630348554464
350,Cdk8,0.09290104792457851,1.4443861,1.0319793871334295
351,Rpl34,0.0932491935706691,0.6236776,1.0303549153297076
352,Ddrgk1,0.09371501544698721,1.092424,1.0281908188953626
353,Mrpl34,0.09476993944066454,1.4326601,1.0233293968954336
354,Spcs1,0.09619128292501683,0.7293623,1.0168642829423977
355,Rexo2,0.09654927122506204,1.055508,1.0152510000215995
356,Stub1,0.09678852163928191,1.0104057,1.0141761435624719
357,Pigp,0.09714828607658456,1.659136,1.0125648569689616
358,Ssb,0.09750911888600546,0.71487445,1.010954767925175
359,Fkbp2,0.09750911888600546,1.3214623,1.010954767925175
360,Sptan1,0.097871022083836,1.4685376,1.0093458762458516
361,Tmem261,0.09884134561238075,1.2313023,1.0050613508048245
362,Brk1,0.10018806239647644,0.9285362,0.9991840224227947
363,C1s1,0.10080502330715838,0.62329084,0.9965178256263827
364,Thap12,0.1015493683588875,1.3990496,0.9933227735797341
365,Rpl30,0.1017984536997744,0.5641414,0.9922588188043256
366,Rab9,0.10267408473508227,1.3727127,0.9885391598770363
367,Rap1a,0.10317712895435112,1.0891851,0.9864165611363924
368,Tgfb1i1,0.1043161433539679,1.3874824,0.9816484775079711
369,Junb,0.10482556728186057,0.83039564,0.9795327786576152
370,Tshz2,0.1050810188419383,1.0178173,0.9784757250438789
371,Lamtor5,0.10662411975333455,1.172579,0.972144541173518
372,Klhl9,0.10753252291029429,0.90140957,0.9684601647316312
373,Scarb2,0.10766279365281518,1.424722,0.9679343552256922
374,Dhps,0.10792371002029226,2.4698281,0.9668831336322411
375,Abhd14a,0.10818512672079818,3.9526033,0.9658324418827067
376,AC159092.1,0.10818512672079818,1.5621575,0.9658324418827067
377,RP24-175N4.1,0.10897238469378794,0.66547626,0.962683545129144
378,Metrnl,0.10923580859820399,1.8608812,0.9616349721865858
379,Serpinh1,0.10976416679522617,0.50893587,0.9595394149224385
380,Parva,0.11002910225943181,1.5109991,0.9584924304866959
381,BC003965,0.1104274525591981,1.9677349,0.956922946417789
382,Fos,0.11082694113776818,1.7415947,0.955354653278901
383,Mrps24,0.11216681594858093,1.244709,0.9501356081602451
384,Taf10,0.11243631766449298,1.1794918,0.949093386154053
385,Tmsb4x,0.113383595923878,0.25201845,0.9454497736183505
386,Nhp2,0.11488486535871717,1.4090761,0.9397371803989536
387,Rnd3,0.11502211620343598,0.7882721,0.9392186464146954
388,Ddit4l,0.11543464271470084,1.2080941,0.9376638369165708
389,Arpc5l,0.1175147515031522,1.1483368,0.9299076134407421
390,Ostc,0.1175147515031522,0.78692836,0.9299076134407421
391,Suco,0.11835498691466817,0.892178,0.9268134382512191
392,Camk2n1,0.1196241655676438,1.0208658,0.922181078603871
393,Rpp25l,0.1196241655676438,1.615699,0.922181078603871
394,Rps17,0.12033385773687233,0.5770507,0.919612160195719
395,Gadd45gip1,0.12133295928119191,1.3374594,0.9160212099362496
396,Snhg12,0.12133295928119191,2.6351607,0.9160212099362496
397,Fas,0.12161960539687133,2.6664329,0.9149964100192146
398,Rps4l,0.12190678079280037,2.5651636,0.9139721370477875
399,Iscu,0.12306078654640609,1.4323919,0.9098803134339785
400,Rpl27a,0.12480777005396301,0.6515091,0.9037583763000966
401,Tmem159,0.12568848357355936,1.5140599,0.9007045134801833
402,Sri,0.12613065243189597,1.188817,0.8991793578018068
403,Rps27a,0.12672209438492768,0.55530494,0.8971476579428665
404,Commd2,0.12731569299468384,1.9781181,0.8951180616963457
405,Ecscr,0.12731569299468384,5.520015,0.8951180616963457
406,Srp9,0.12746443014990197,0.72792906,0.8946109912678822
407,Sec14l1,0.12850937809555835,1.4454069,0.891065178118384
408,Jtb,0.12880915427096348,0.88046265,0.8900532712301643
409,Fubp1,0.12925983697379057,0.5593709,0.8885363961576429
410,Mrpl57,0.12956097188028937,1.1712095,0.8875258028611224
411,Fut8,0.13001369528636098,1.2160608,0.8860108978929953
412,Sys1,0.13016487564497942,0.9520205,0.885506192200482
413,Srsf2,0.13061923536105416,0.6608957,0.8839928629075757
414,Hsbp1,0.1315316449026146,0.8323243,0.8809697486705754
415,H2-Q4,0.13229575349650263,1.400048,0.8784540958172955
416,Polr2f,0.1326023579764707,1.3914635,0.8774487531027042
417,Hoxc6,0.13306329610448228,1.1742799,0.8759417228690863
418,Eps8,0.1332172174640677,1.7161807,0.8754396417842603
419,Prkar2a,0.13414364124995098,1.4330468,0.8724299091680376
420,Fcf1,0.13429852845815515,1.8212359,0.8719287459761423
421,Crip2,0.1347640198684668,1.6907707,0.8704260429517139
422,Bmpr2,0.13507503964610854,0.63805634,0.8694248963182233
423,Col5a3,0.13569874286552003,0.68656087,0.8674241756939594
424,RP24-261H7.9,0.13601142739642075,0.8885048,0.8664246015803866
425,Ergic3,0.13648149687349903,1.0413446,0.8649262229853463
426,Fkbp10,0.13648149687349903,1.4562684,0.8649262229853463
427,Sssca1,0.1367955724370742,1.6288608,0.8639279588824569
428,Bnip3l,0.13726773100599632,1.1740408,0.8624315450148303
429,Ccdc186,0.13821581764374904,1.1980703,0.8594422527483425
430,Dynlt3,0.13980716508795263,1.5176513,0.8544705705186612
431,Rhoc,0.14044763767443988,1.0802772,0.8524855612226976
432,Trappc6b,0.14076871902677324,1.5627544,0.8514938413825727
433,Commd3,0.14092947120148283,1.1155567,0.8509981776372575
434,Angpt2,0.14173534972713434,1.495059,0.848521820346729
